id,name,host_id,host_name,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29782067,Bedroom in Astoria for two,20037314,Marcel,Queens,40.76339,-73.92249,Private room,97,2,0,,,1,249
13912926,Whole apartment in Forest Hills,1287719,Constanza,Queens,40.71642,-73.8357,Entire home/apt,200,5,1,8/29/2016,0.03,1,0
21597684,Room on st marks place (women only),2326551,Laura,Manhattan,40.72625,-73.98404,Private room,80,1,10,5/7/2019,0.52,2,97
14409723,Charming & Spacious Studio in NYC,88626648,Kerry,Manhattan,40.76099,-73.96158,Entire home/apt,130,2,11,1/1/2018,0.32,1,0
31124852,Totally Renovated Plush loft apartment,232618610,Hugo,Brooklyn,40.68392,-73.8693,Entire home/apt,195,4,7,6/29/2019,2.47,1,136
21879516,2 Bedroom in the perfect location,5945683,Annie,Manhattan,40.76384,-73.96355,Entire home/apt,200,4,3,10/25/2018,0.19,1,3
6105240,Ideal Greenpoint Location,184833,Edward,Brooklyn,40.72123,-73.95357,Entire home/apt,245,7,6,5/8/2018,0.12,1,67
22337421,Cozy Sunny Private Room in Bed-Stuy Brooklyn,5891676,Miao,Brooklyn,40.69157,-73.95522,Private room,65,2,40,8/31/2018,2.2,1,0
23400115,Cozy and bright east village apartment!,50297669,Chloe,Manhattan,40.7265,-73.98878,Entire home/apt,110,3,4,4/19/2018,0.25,1,0
30765849,Elevator Doorman Gym Studio Roof Laundry 5219,16098958,Jeremy & Laura,Manhattan,40.74986,-73.98709,Entire home/apt,180,30,0,,,96,311
34205576,Convenient ground floor duplex - no stairs!,258243498,Ben,Brooklyn,40.70998,-73.94694,Private room,155,3,1,5/27/2019,0.7,3,365
11295457,Manhattan -Harlem- private room / single bed,7055854,Diane,Manhattan,40.80296,-73.94399,Private room,60,5,39,6/6/2019,1.2,5,271
20968046,"Beautiful RoomwBackyard near Trains,Astoria NY",150116246,Chimme,Queens,40.75633,-73.92777,Private room,70,3,5,9/18/2018,0.24,1,0
258740,Spacious room in beautiful apt! ,1360043,Adrienne,Manhattan,40.81872,-73.94567,Private room,58,1,143,6/30/2018,2.83,1,0
18034890,"Quiet, tranquil room in the middle of everything!",3660702,Greg,Manhattan,40.74701,-73.9914,Private room,105,1,132,6/22/2019,4.81,4,103
24879207,Lawrence Beach House,173852911,Kathryn,Queens,40.59486,-73.73837,Entire home/apt,250,2,22,7/7/2019,1.6,1,47
8485671,Gramercy Park Studio by Manhattan,29821368,Matthew,Manhattan,40.73809,-73.98215,Entire home/apt,200,2,2,10/17/2015,0.04,1,0
28520183,"Large, brand new Williamsburg apt. w/ prvt outdoor",1755123,Franco,Brooklyn,40.71543,-73.95421,Entire home/apt,70,2,4,5/3/2019,0.5,1,0
18179735,Nice room in spacious apartment in BK,26996515,Will,Brooklyn,40.69016,-73.9274,Private room,40,2,4,8/7/2017,0.16,2,0
8034514,Sunny & Spacious Apartment in LES,1346505,Jovan & Zaga,Manhattan,40.72045,-73.99016,Entire home/apt,250,3,4,2/13/2016,0.09,1,0
21473222,"Luxury, Zen 1BR in N Williamsburg",2823757,Meg,Brooklyn,40.71719,-73.95427,Entire home/apt,109,2,4,12/9/2018,0.36,1,0
25501491,"Great apartment in staten island, New York.",192449075,Alarape,Staten Island,40.62439,-74.16634,Entire home/apt,115,1,36,6/29/2019,2.67,1,263
27906875,Organic Oasis Duplex (EMF-free),1358304,Karliin,Manhattan,40.76292,-73.99219,Entire home/apt,350,60,0,,,1,177
13411035,Charming 3 BR in Midtown West,61391963,Corporate Housing,Manhattan,40.76327,-73.98937,Entire home/apt,185,30,4,8/31/2018,0.13,91,0
25731392,THE JEWEL OF CROWN HEIGHTS,166269959,Mor,Brooklyn,40.67031,-73.9354,Private room,95,4,0,,,1,0
34575931,Summer home in NYC 5-Bedroom Private House,163565274,Carrie,Queens,40.72453,-73.79847,Entire home/apt,189,2,6,7/3/2019,5,1,8
36133191,Spacious and Sunny Bushwick Artist's Loft,153616576,Erica,Brooklyn,40.70795,-73.92039,Entire home/apt,250,1,0,,,1,188
30087377,Prime West Village Boutique Apartment,14379366,Perry,Manhattan,40.7363,-74.00494,Entire home/apt,340,30,2,6/14/2019,0.46,1,100
7094110,Cozy apartment near Central Park!,25109461,Alex,Manhattan,40.79326,-73.93988,Entire home/apt,102,1,0,,,1,11
3616003,Large Clean Apt in Ditmas Park,18219988,Deanna,Brooklyn,40.63981,-73.95712,Entire home/apt,80,2,103,5/27/2019,1.7,1,0
2061367,"Room on Upper West Side, Manhattan",10550207,Brooke,Manhattan,40.77895,-73.97837,Private room,100,2,0,,,1,0
1073832,Designer Studio Apt in Red Hook,5585945,Orren,Brooklyn,40.67685,-74.00581,Entire home/apt,125,3,162,6/26/2019,2.15,1,300
9748012,"Lovely, 2BR sun filled apartment",9895399,Julian,Brooklyn,40.72484,-73.9472,Entire home/apt,100,6,1,1/5/2016,0.02,1,0
34871854,Most wonderful 2 BR Apartment in Lower Manhattan,261898854,Layla,Manhattan,40.72128,-73.97899,Entire home/apt,200,14,2,6/21/2019,1.5,1,233
24266273,Cozy Private Room in Downtown Flushingæ³•æ‹‰ç››ä¸­å¿ƒç§äººæˆ¿é—´,181710793,Michelle & Evelyn,Queens,40.76525,-73.83055,Private room,45,1,101,7/7/2019,7.03,3,33
19544381,Comfortable studio in heart of LES/Chinatown,2642103,Yuriy,Manhattan,40.71633,-73.9897,Entire home/apt,100,2,2,10/17/2017,0.08,1,0
13039122,Bk's Finest City life close to Transportation,50600973,Joyell,Brooklyn,40.69499,-73.9283,Private room,45,1,251,6/20/2019,6.68,7,69
8241545,Spacious Sunny Rm in Stylish Duplex,21628945,Keith,Brooklyn,40.68167,-73.92525,Private room,69,3,13,8/14/2017,0.28,2,333
14296562,"Entire Home in Gramercy, Duplex Loft",6543299,Sun-Young,Manhattan,40.73958,-73.98258,Entire home/apt,195,2,12,7/8/2018,0.41,1,0
320865,Harlem on the Range,1643782,Katy,Manhattan,40.8076,-73.94433,Entire home/apt,135,30,25,3/31/2019,0.28,1,249
2958412,A beautiful modern 3 bedroom apt,15099550,Bah.,Manhattan,40.80879,-73.94127,Entire home/apt,290,1,77,7/1/2019,1.25,1,252
22152232,Beautiful room with comfy bed in Bushwick,10018530,Nicole,Brooklyn,40.70328,-73.91429,Private room,50,2,2,7/19/2018,0.1,1,0
8422085,Cozy apartment in Brooklyn,9996343,Leticia,Brooklyn,40.69181,-73.9463,Private room,55,3,18,5/31/2017,0.39,1,0
22064793,Classy Quiet Studio in LES!,611408,Geraldine,Manhattan,40.71542,-73.98403,Entire home/apt,143,7,0,,,1,0
33749769,HABITACIÃ“N COMPARTIDA PARA MUJERES AVENTURERAS!,223087887,Jess & Ana,Queens,40.74116,-73.86705,Shared room,25,2,10,7/3/2019,3.45,8,344
30046174,Spacious Loft steps from Central Park by NÃ”M Stays,224655849,NÃ´m,Manhattan,40.79052,-73.94838,Entire home/apt,120,29,1,5/31/2019,0.77,2,0
29731625,Sunlit Spacious Apartment in Brooklyn,30177875,Bree,Brooklyn,40.67452,-73.95906,Entire home/apt,120,4,3,5/25/2019,0.47,1,7
14092722,Large 1BR in Heart of the West Village,25075066,Scott,Manhattan,40.7349,-74.0005,Entire home/apt,265,2,19,4/25/2019,0.55,1,5
9463261,"Clean bright room, Upper West Side",30942491,Aga,Manhattan,40.80473,-73.96528,Private room,62,20,0,,,1,0
18561365,Artist Apartment Fort Greene / Clinton Hill,8146232,Marty,Brooklyn,40.69229,-73.96504,Entire home/apt,120,1,3,8/6/2017,0.12,1,0
31076667,"Luxury Astoria 1BD apt, 15 min from Manhattan",19630705,Eugene,Queens,40.75576,-73.93071,Entire home/apt,70,3,2,3/18/2019,0.32,1,4
35816788,Artists cave,226970380,Tunie,Manhattan,40.72555,-73.98198,Entire home/apt,145,1,3,7/2/2019,3,1,84
32806789,Spacious & Bright 1 Bedroom in S. Williamsburg,246791914,Rep,Brooklyn,40.71078,-73.96905,Entire home/apt,200,2,8,6/30/2019,2.67,1,2
10297582,Sunny and huge room in Astoria!,52973925,Alexis,Queens,40.75619,-73.91881,Private room,66,1,0,,,1,0
34336086,ROOM # 4 near to JFK & LGA airport,258589420,Diego,Queens,40.68981,-73.83198,Private room,58,1,6,7/7/2019,2.73,7,176
24351719,LES 2 BR Penthouse New Construction,87585422,Dan,Manhattan,40.72081,-73.98461,Entire home/apt,975,4,8,5/18/2019,0.64,1,164
32402856,"POSH COBBLE HILL APARTMENT, 5 MINUTES TO MANHATTAN",153565366,Hugo,Brooklyn,40.68391,-73.99226,Entire home/apt,190,4,12,7/4/2019,3.33,3,207
16238620,Studio Near Columbia University,31391525,Olive,Manhattan,40.80103,-73.96546,Entire home/apt,74,27,1,12/7/2016,0.03,1,0
14131597,1920s Room 1 block from Prospect Park and Q Access,3620205,Nick,Brooklyn,40.65663,-73.95989,Private room,43,1,6,3/1/2017,0.19,1,0
24772896,Quaint SoHo Home Away From Home in The Big Apple!,187301833,Sue,Manhattan,40.72095,-73.99961,Entire home/apt,210,3,34,6/26/2019,2.48,1,37
23275013,Dope Apt,756577,Jason,Brooklyn,40.71859,-73.95284,Entire home/apt,100,90,0,,,1,0
33769887,Private! Studio New Modern Close To JFK LGA NYC :),87156911,Alex,Queens,40.6752,-73.8552,Entire home/apt,100,1,15,7/7/2019,5.84,1,326
4456555,Entire flr-thru 2bdrm apartment near ProspectPark!,747671,Sarah Jazmine,Brooklyn,40.66347,-73.98438,Entire home/apt,180,1,7,1/1/2017,0.12,1,0
13488659,Basement Sublet Space open from June 28th-July17th,77280363,Michael,Queens,40.69807,-73.90614,Private room,40,21,0,,,1,0
9789339,"BIG and Comfortable apt, by Park!",10338528,Jared,Brooklyn,40.65411,-73.95816,Private room,55,4,8,12/26/2018,0.19,1,173
36449345,"Private Room in Brooklyn, 5minutes from Subway",115528632,Rachel & Alex,Brooklyn,40.69171,-73.95418,Private room,80,1,0,,,1,43
31929578,UPPER WEST SIDE/ 2BED 2BATH / RIVER VIEW,131647128,Emily,Manhattan,40.77537,-73.98938,Entire home/apt,300,30,0,,,25,288
33660911,Stylish Designer 3 Bedroom Apartment,61084210,Nadine,Queens,40.76222,-73.91861,Entire home/apt,360,3,10,7/1/2019,3.85,1,206
776257,Large One Bedroom in heart of North Williamsburg,4094151,Sean,Brooklyn,40.71813,-73.9606,Entire home/apt,230,5,72,6/30/2019,0.91,1,325
1009883,"Modern, Carroll Garden Townhouse",329436,Jana,Brooklyn,40.68204,-73.99249,Entire home/apt,350,3,41,5/27/2019,0.59,2,22
1457505,sunny beautiful studio apartment,7815949,Dee,Brooklyn,40.67265,-73.9247,Entire home/apt,85,2,67,11/12/2018,0.97,1,8
33930883,Beautiful 2 bedroom 2 bathroom in East Harlem,49796888,Reema,Manhattan,40.79819,-73.93953,Entire home/apt,500,2,0,,,1,55
1988823,Family Friendly Apt in Quiet Building,10256663,Rachel,Manhattan,40.81402,-73.94358,Entire home/apt,175,3,136,7/2/2019,2,1,171
36316884,Photography Rooftop for Creatives :),62659791,Chiz,Brooklyn,40.67833,-73.95349,Shared room,80,1,0,,,2,365
33451863,Luxe Modern Private Townhome,99895085,Joseph,Brooklyn,40.68374,-73.99368,Private room,88,1,11,6/23/2019,3.47,1,85
3858822,"Big, Sunny and QUIET West Village Studio",7782769,Alexander,Manhattan,40.73824,-74.00027,Entire home/apt,175,3,45,7/17/2018,1.05,1,0
31018202,Private Room in Bushwick Loft,88221919,Kate,Brooklyn,40.70326,-73.9336,Private room,40,2,5,4/4/2019,1.3,1,0
24186601,Upper East Museum Roads,20367358,Maryse,Manhattan,40.77456,-73.94602,Entire home/apt,145,28,2,11/19/2018,0.23,1,278
666613,Amazing Williamsburg entire Loft. Floor 2B,3370705,Valentin,Brooklyn,40.71112,-73.96338,Entire home/apt,199,4,78,6/7/2019,1.26,1,65
4887250,VICTORIAN SUNFILLED APT DREAM VIEW,1705071,Nika,Queens,40.74741,-73.94712,Private room,95,1,141,6/24/2019,2.77,2,331
31859909,Beautiful room with view in newly-renovated house,5704932,Victor,Bronx,40.86643,-73.88895,Private room,65,2,7,4/1/2019,1.28,3,110
59121,"Nice, clean, safe, convenient 3BR",204539,Mark,Queens,40.70411,-73.89934,Entire home/apt,140,14,1,9/17/2012,0.01,5,365
474283,Studio apartment by Columbus Circle,950232,Deborah,Manhattan,40.76487,-73.98471,Entire home/apt,117,7,0,,,1,0
11178582,Charming bedroom downtown,6980995,Dominik,Manhattan,40.71312,-73.99669,Private room,90,1,5,5/19/2017,0.12,5,0
29595432,BSM2. Shares basement,215588687,Levi,Brooklyn,40.66192,-73.94668,Shared room,25,2,1,11/27/2018,0.13,6,365
16244096,Room for rent in Brooklyn. 1 block from R train,106197850,Jamie,Brooklyn,40.64318,-74.01329,Private room,50,7,1,5/21/2017,0.04,1,0
8431626,Lovely bedroom/private full bath in Brooklyn,44398705,Victoria,Brooklyn,40.68881,-73.92805,Private room,52,4,3,5/6/2019,0.35,2,157
21191862,(ABC) 3 bedrooms-2 bath up to 6 pp,110965771,Wilson,Queens,40.77317,-73.82405,Private room,200,2,12,6/9/2019,0.64,7,35
10771369,Awesome Midtown Get-A-Way,55713233,Ryan,Manhattan,40.7462,-73.97707,Entire home/apt,105,3,3,9/6/2016,0.08,1,0
14090133,Coney Island cabana apt - 1/2 BLOCK FROM BEACH!,84754283,Markus,Brooklyn,40.5738,-73.99044,Entire home/apt,100,2,2,8/28/2016,0.06,1,0
26374486,East Harlem Entire 1BR apt,198340695,Miho,Manhattan,40.78978,-73.94138,Entire home/apt,90,5,0,,,1,0
27257149,~House of Rest~Treehouse Room in Bushwick Brooklyn,427019,Oh,Brooklyn,40.70713,-73.92918,Private room,55,2,18,5/21/2019,1.61,2,5
14769785,Pr1vate Room(Queensizebed)$100,83147028,Shirley,Brooklyn,40.67181,-73.925,Private room,100,1,16,1/1/2019,0.46,2,365
7237763,BROOKLYN HEIGHTS Luxury Harbor View,1762355,Evan,Brooklyn,40.6947,-73.99304,Entire home/apt,250,7,11,5/20/2019,0.24,1,225
35005473,Awesome Renovated Studio in Brooklyn NYC,4361579,Emmanuelle,Brooklyn,40.6904,-73.93463,Entire home/apt,92,1,9,7/1/2019,6.59,3,21
12772993,Penn Station / Chelsea North room,37521233,Jay,Manhattan,40.75053,-73.99685,Private room,55,2,5,11/26/2016,0.13,1,0
2833998,Clean apartment at Harlem 125/lenox.,3289988,Emilie,Manhattan,40.80925,-73.94226,Private room,55,5,0,,,1,90
21058573,Beautiful Cypress Hills apt,14719992,Yoni,Brooklyn,40.67966,-73.89028,Entire home/apt,106,1,2,11/4/2018,0.11,3,0
32929482,Brand new renovated retreat 5 min from JFK!,46789694,Tapashi,Queens,40.66648,-73.7526,Private room,65,1,28,6/30/2019,7.85,2,340
22209583,Spacious sanctuary + private bath in hip Bedstuy,162291393,Olya,Brooklyn,40.6834,-73.94209,Private room,98,1,26,11/25/2018,1.4,1,73
8412352,Apt on President St & Kingston Ave,44314131,Raphael,Brooklyn,40.66852,-73.9425,Entire home/apt,160,1,1,10/6/2015,0.02,1,0
29751447,The Cozy Corner in BedStuy,223817242,Carla,Brooklyn,40.68774,-73.93699,Entire home/apt,120,1,36,6/23/2019,4.62,1,334
27454297,Brooklyn Style Hostel RM4 #1,119669058,Melissa,Brooklyn,40.69322,-73.95519,Shared room,36,3,12,6/19/2019,1.06,34,361
30020090,Large Chic Uptown NYC Apartment,225646557,Mike,Manhattan,40.83901,-73.93802,Entire home/apt,199,2,18,7/1/2019,2.56,1,171
704838,An Oasis in  the Big Apple 1,3621183,Paul,Queens,40.74723,-73.89706,Entire home/apt,120,3,60,7/4/2019,1.59,3,281
20017636,"LES 1 Bedroom. Cozy, Sunny, Modular",15520689,Laura,Manhattan,40.71692,-73.98321,Entire home/apt,90,26,1,8/31/2017,0.04,1,0
4867876,Sunny and Spacious Brooklyn Apt,25037051,Ruth,Brooklyn,40.67006,-73.9553,Private room,70,1,10,1/2/2017,0.18,2,0
22972832,"Main st APT w PRIVATE Bath, bedroom, living room.",161899037,Tony,Queens,40.75794,-73.83234,Entire home/apt,150,2,54,6/24/2019,3.1,7,70
32327466,Lahore Suite at Incentra Village House,241889662,Incentra,Manhattan,40.73897,-74.00346,Private room,999,1,3,5/19/2019,0.7,5,341
22530764,House of Love,165448425,Shana,Brooklyn,40.65129,-73.94058,Private room,90,1,10,6/24/2019,0.72,1,365
